Datetime,AAPL_forecast_har_5m,AMD_forecast_har_5m,AMZN_forecast_har_5m,GOOGL_forecast_har_5m,IBM_forecast_har_5m,META_forecast_har_5m,MSFT_forecast_har_5m,NVDA_forecast_har_5m,SPY_forecast_har_5m,TSLA_forecast_har_5m,AAPL_forecast_rfsv_5m,AMD_forecast_rfsv_5m,AMZN_forecast_rfsv_5m,GOOGL_forecast_rfsv_5m,IBM_forecast_rfsv_5m,META_forecast_rfsv_5m,MSFT_forecast_rfsv_5m,NVDA_forecast_rfsv_5m,SPY_forecast_rfsv_5m,TSLA_forecast_rfsv_5m,AAPL_actuals_5m,AMD_actuals_5m,AMZN_actuals_5m,GOOGL_actuals_5m,IBM_actuals_5m,META_actuals_5m,MSFT_actuals_5m,NVDA_actuals_5m,SPY_actuals_5m,TSLA_actuals_5m
2025-07-25 18:45:00,-12.944584981250554,-14.967502418571117,-20.86864181523941,-9.672664437147663,-14.651306609284381,-24.5538932725079,-13.410209974386884,-14.607209479095602,-19.402260307896952,-11.467910757419961,-17.03586041768763,-15.960539367428657,-18.194004093635005,-14.997184467095398,-15.958748480192384,-17.338147407169153,-14.744888900207346,-15.235102452447922,-18.106634742689128,-12.441634684627044,-16.896272569626415,-15.553865982417577,-17.66198257075166,-14.135405579211172,-15.938934390894458,-16.633333802654576,-16.330376993853843,-17.68817437771521,-23.02548424839351,-14.638215692760603
2025-07-25 18:50:00,-13.394416336835029,-15.455878519358611,-21.777868143193274,-8.052053293736515,-14.906062786594825,-18.540122132528474,-13.51086698177076,-18.150252201403276,-20.321926048024586,-18.937177509834314,-17.311215471693302,-16.643344981047896,-17.578932536693085,-15.094481567070005,-15.875214630771106,-17.01827561235193,-15.413595393594818,-15.000905820922904,-17.926168781144447,-12.261859344646437,-16.81098917981588,-12.927036843603581,-16.071820082073014,-15.849083082610226,-17.558595742114218,-19.811293203264974,-14.486991667665576,-14.203377048323937,-17.235310402249993,-10.57033437685615
2025-07-25 18:55:00,-11.554776098742138,-14.460805187911983,-24.458848132394508,-9.83187552913553,-14.189173421822124,-23.43887754544111,-13.869073953781225,-11.482199959835317,-20.360475646196463,-10.603313326955751,-16.335017180071098,-17.277886037365946,-18.212848850159535,-15.682320111491146,-14.837577590867486,-18.771814265027857,-14.81361045888374,-15.089642626760797,-17.82900957684381,-12.271672174132302,-15.433521384596677,-13.660493031098255,-15.217396852178455,-11.915592669321208,-13.222032197187563,-14.946874776764862,-16.736460611473053,-15.063403645031197,-17.325788893433725,-16.565823483958876
2025-07-25 19:00:00,-11.460289132981384,-12.634151828893886,-20.582369312961898,-9.097939502179452,-20.25427501673221,-19.769990164320205,-11.91316221689124,-12.43374183382338,-20.78081230610308,-16.995286795772707,-16.21001083342775,-17.809746529269326,-18.672137037826833,-15.636234688387798,-15.870192647920664,-16.888210266702846,-14.708460768995177,-15.115122398371378,-18.592979176940275,-14.137249220723922,-20.699164599835143,-14.09244475319721,-16.35716149631992,-15.132224868041197,-15.20159900183012,-13.939028746624855,-14.329301925183264,-14.5683771545927,-17.725939042045685,-15.595500203494101
2025-07-25 19:05:00,-10.999122052836219,-12.648192629995577,-20.250952569323093,-9.06200405201481,-20.263088147886222,-18.34354730533464,-12.41962931950675,-11.073745000260939,-19.10962596594885,-12.358402936817717,-15.161395745151879,-18.833189726972016,-18.144746436207512,-15.78739705518106,-16.146917371635105,-16.32403928767892,-14.863055666675043,-15.910355529288804,-18.387841420567828,-12.78224828656503,-21.15712648589106,-13.716501318549367,-18.26041495333074,-16.72795453140743,-13.055766080383888,-14.007115128237842,-18.91512140567211,-15.757475140485168,-20.231951586492837,-16.672455000005208
2025-07-25 19:10:00,-10.724676963392602,-15.247564103311657,-18.44510216335153,-10.04630717818831,-15.66038940052726,-20.37103560159227,-12.95987104933561,-11.866772111499206,-21.165305315597365,-12.841536678446703,-17.011680550776106,-17.581686787705358,-18.32388442310026,-15.43598521140132,-15.785342591305902,-17.17622001639663,-13.846127500072441,-15.493872966530745,-17.969857770135945,-13.746016752022049,-15.659414399309888,-14.644726630334915,-15.699990109706444,-15.457269999319317,-13.972480964444808,-17.553989516763757,-17.30795282230043,-14.557244219392565,-16.844521837004763,-13.917428551134556
2025-07-25 19:15:00,-10.20278874603013,-13.634380164878081,-18.774955104428315,-8.417906663339835,-15.114432084834457,-18.44314652692264,-12.775222655685829,-14.788931243973277,-21.159855457272364,-11.048859674075162,-15.850222847203662,-18.569447138177974,-18.208505442595047,-15.084582211595484,-15.837357392415942,-16.767860737768316,-14.52132779592974,-15.450281697687563,-18.362211682078684,-13.470080678330174,-19.108703299628562,-14.031739116468762,-15.121669270591735,-15.84536334895322,-14.099614520449288,-19.116114626400996,-18.91531162406273,-16.30795585858011,-17.07127673885559,-11.942367044946318
2025-07-25 19:20:00,-12.572375963400258,-13.147607176772132,-23.307069846000033,-10.31160626110963,-14.899383497107785,-20.78585754752367,-11.393223592794294,-13.49887600218894,-20.75648529060488,-12.173235956226671,-16.20243707489698,-18.213261822458946,-16.91409269577876,-14.659240056063254,-15.354732974097809,-16.231757811642165,-14.327594932648347,-14.92456343190741,-18.63825687006692,-12.401763192838803,-15.562073132625049,-12.444567056971742,-17.879085742581694,-19.702155207022354,-16.58044538728966,-14.666269900802495,-15.714278916777477,-19.49963511537918,-16.774802966981504,-13.554100285260597
2025-07-25 19:25:00,-13.210082837989468,-16.72920022104023,-21.305969195563108,-9.431467024243277,-14.36012007819741,-19.902523077867336,-12.084893342704081,-17.181064734571653,-17.74488214575768,-11.714834400401116,-15.86712289690252,-18.257310599035357,-17.02459122413697,-15.15897479167701,-15.979459844398258,-16.789712487915715,-14.367484423722127,-14.856375524038636,-18.93997124856609,-12.95609598945482,-14.72075895878933,-19.528700955231866,-16.281477388646877,-15.034137667324027,-14.142379379002556,-13.302263443603335,-15.18837006576862,-13.586231204107309,-19.328420415068845,-11.042706565746224
2025-07-25 19:30:00,-10.589193791223742,-14.837467854969244,-18.035382800985488,-7.612045427542963,-15.913342155197407,-18.19120566735097,-14.332347604855428,-11.405869603628506,-17.136915224395864,-11.311300064998193,-15.97460564352259,-18.70214423517123,-16.194421603436034,-14.145026781574824,-16.363180013399266,-17.029269021648453,-14.97598500743164,-15.831499436245263,-18.783520251164965,-13.918252190423612,-16.04498241730062,-18.041808600898666,-22.259507297504932,-16.725778951109596,-15.620602252839833,-15.6150570909414,-15.95136551316284,-14.643594017840172,-17.514837343524153,-19.79327435027618
2025-07-25 19:35:00,-12.577580678733025,-17.788596218272367,-19.69234203766587,-8.03494573393909,-15.677226817228116,-23.773472030801155,-12.103176752924321,-13.077400168007014,-17.399469660483952,-12.105765210081483,-16.262815999558654,-18.682482780802765,-16.481460704083197,-13.825199196756486,-16.004459475087526,-16.073087004508505,-15.377355025088837,-15.917122344177773,-19.040947319489263,-12.032746547300725,-16.718292147811365,-14.087664859401922,-13.920314436801666,-16.15146538106463,-12.693614766040396,-23.025850929940457,-15.84170760334088,-14.643594017840185,-16.51620769407078,-11.130913039815033
2025-07-25 19:40:00,-13.91482599659599,-13.440915848682652,-24.354110127339737,-10.730808005473063,-14.638826765983614,-19.646012499294784,-11.288733187654717,-13.207875519988693,-18.67905615073667,-10.981961254973942,-16.349801507819045,-17.96680545878566,-17.30819255980449,-14.198512149126321,-15.944432561873043,-15.950042015046657,-15.234557956632552,-16.063251838357758,-19.056540631950888,-11.732230073451237,-20.56601418513019,-16.027212444126285,-14.557347106472541,-16.152594287730114,-17.131314588002475,-13.138322498415251,-13.61717659783688,-14.354060623321718,-17.07090120248631,-16.01441041595624
2025-07-25 19:45:00,-10.11023963212683,-13.174942983947522,-19.165335263546524,-9.278952528149075,-15.385504608060993,-22.66071092203061,-14.541968817875933,-15.167946986192067,-16.857264933041897,-12.071529180776942,-16.030842518660812,-18.390741611022367,-16.187924072963163,-14.105270394979678,-15.503454649934682,-16.513660678075293,-15.057160738716542,-16.628717390362887,-19.542510360221897,-11.557943934072238,-14.979122368028353,-14.498704839098334,-14.267215904465363,-19.70185581369201,-13.002115471391999,-14.523763254561766,-16.81552480928762,-16.735022068596717,-21.79123168207065,-16.23523633487663
2025-07-25 19:50:00,-10.937075339465547,-13.01490038338511,-19.638995069087954,-8.679389194196965,-15.70025718138506,-18.386752066034866,-12.140914423909429,-14.62848205954143,-18.171696910998513,-13.384165918032302,-15.25947856853188,-18.118790058550083,-16.827033131965457,-14.321802305385788,-14.363496925268024,-16.195644125209917,-15.190359439875447,-17.780432729653295,-18.921480526771184,-10.987900229975843,-14.927553064498667,-13.915649619592976,-13.831641060283813,-15.13233373512201,-15.748902158480064,-17.068475715932983,-12.034765057201131,-13.71903717033276,-14.902103317561263,-11.129405243216192
2025-07-25 19:55:00,-10.43949948482543,-14.789972393934768,-19.841729951342657,-8.556030077402228,-16.768280986098873,-19.036247549837235,-11.205829708821788,-13.530758206826352,-21.077921692741434,-12.258341293466138,-14.961679423861558,-17.664622035536553,-16.979285699803096,-14.368663093664741,-15.139206103204321,-16.55939182490272,-14.475997409413646,-16.801969184225623,-18.53010971921359,-11.063433946617412,-15.238053082330042,-13.167584617985986,-13.264822117595491,-15.342883391822951,-17.494172432525115,-15.683883773613859,-12.956546024880826,-16.297828338486216,-17.32382266676874,-12.922183311564895
