Datetime,AAPL_forecast_garch_h,AMD_forecast_garch_h,AMZN_forecast_garch_h,GOOGL_forecast_garch_h,IBM_forecast_garch_h,META_forecast_garch_h,MSFT_forecast_garch_h,NVDA_forecast_garch_h,SPY_forecast_garch_h,TSLA_forecast_garch_h,AAPL_forecast_har_h,AMD_forecast_har_h,AMZN_forecast_har_h,GOOGL_forecast_har_h,IBM_forecast_har_h,META_forecast_har_h,MSFT_forecast_har_h,NVDA_forecast_har_h,SPY_forecast_har_h,TSLA_forecast_har_h,AAPL_forecast_rfsv_h,AMD_forecast_rfsv_h,AMZN_forecast_rfsv_h,GOOGL_forecast_rfsv_h,IBM_forecast_rfsv_h,META_forecast_rfsv_h,MSFT_forecast_rfsv_h,NVDA_forecast_rfsv_h,SPY_forecast_rfsv_h,TSLA_forecast_rfsv_h,AAPL_actuals_h,AMD_actuals_h,AMZN_actuals_h,GOOGL_actuals_h,IBM_actuals_h,META_actuals_h,MSFT_actuals_h,NVDA_actuals_h,SPY_actuals_h,TSLA_actuals_h
2025-07-24 19:00:00,-15.918954570446033,-16.61531114075938,-13.588415080082907,-10.32882658343747,-9.23583042171111,-16.371295014782742,-12.622198167792954,-13.581379121108753,-15.262629211024997,-9.361604523518862,-15.918954570446033,-16.61531114075938,-13.588415080082907,-10.32882658343747,-9.23583042171111,-16.371295014782742,-12.622198167792954,-13.581379121108753,-15.262629211024997,-9.361604523518862,-16.315276960848852,-17.756906801195832,-14.668676737780832,-9.117779706043402,-10.004048934465473,-13.119604889178031,-15.763654137209121,-14.309122576588857,-15.400177069040845,-10.817121338264446,-10.637019464580792,-13.11730751041147,-13.520495514587717,-10.846297992141526,-9.68697305706309,-10.56508557487478,-12.89514482794921,-14.396664110291535,-12.863976716057847,-10.531414074054094
2025-07-24 20:00:00,-15.94577462268402,-16.627157103736458,-13.59100903907557,-10.331313657350119,-9.242287086781525,-16.362719357919126,-12.629312263663962,-13.583509123371385,-15.303385857393268,-9.374598527896346,-17.360490875600533,-17.045828096634914,-16.737472846326245,-10.318261189317633,-9.314867691245691,-16.55463717822357,-12.576979853905451,-11.86330670979456,-13.88289725814855,-9.87799636889214,-18.118154656734728,-18.719275533287355,-14.784228087816382,-8.838284590816457,-12.390996577225605,-16.90215996185143,-18.049730553338755,-15.015912600987786,-15.669168725930968,-13.598134296843309,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-24 21:00:00,-15.971652665285744,-16.642016003767512,-13.559052347078508,-10.332709869422281,-9.25161513839266,-16.37298829911787,-12.604626451273322,-13.494480982451172,-15.345074900389575,-9.357146732389564,-17.60916480212498,-18.496435038906746,-14.967869384963183,-9.881150170639744,-7.7288238632976025,-19.74987922803113,-17.70569928846053,-16.762645222412434,-17.286396668193856,-11.130137348431374,-15.225889236502644,-16.384086798999668,-17.371616964125497,-9.742804023536838,-11.006525434168017,-13.409345325351026,-16.698567198401243,-16.819288487913855,-14.968496468689597,-13.858723892231442,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-24 22:00:00,-15.996256269967743,-16.652546930477776,-13.502464952764566,-10.332687931936878,-9.254455167605496,-16.372765347785027,-12.608584516462468,-13.583008289551241,-14.655604970931847,-9.363580328153642,-18.67303074399807,-15.185782105153912,-16.03805120517045,-10.593256447237701,-11.869999741161688,-17.759066830417648,-14.083508665759561,-15.851765508309803,-14.738768943943423,-11.831485944046511,-14.677616117892788,-18.41114752583666,-18.48439940949021,-11.406135861131796,-14.701265849470934,-15.51842451779502,-15.864718985865418,-15.292609189457206,-17.21188663749575,-13.152256304872362,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-24 23:00:00,-16.007170031393645,-16.782451065708102,-13.59475881672611,-10.354552036818607,-9.265138712983848,-16.385000891040562,-12.61604422340907,-13.701762846471778,-15.43885100752984,-9.384936101085929,-25.601861667282478,-24.37027691104256,-22.988168835085514,-18.762779852435855,-18.63823749790644,-25.5920697925534,-21.507902901059204,-21.92829739468933,-22.091606109549193,-20.69072411017416,-18.57919880559792,-18.527969641093076,-17.49598111629746,-9.916186500096217,-12.187255437696113,-14.03094659791671,-18.440611186338337,-15.038183101227116,-12.960714973681425,-13.96795886310637,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 00:00:00,-16.0279353547811,-16.786205976240627,-13.600694763701384,-10.483400072908312,-9.24841137910871,-16.390144506672197,-12.622938200253088,-13.624068740932833,-15.423531103377503,-9.387546781531901,-25.275865990026958,-24.150283888686964,-22.869832213267774,-18.609282209711957,-18.563459366156852,-25.359651046790542,-21.233979311205225,-21.820748008052924,-22.00128419280455,-20.472324472999524,-19.269654557624666,-18.875871264924363,-17.208433480782368,-14.31168662084805,-12.629596269403986,-13.144134180956732,-17.41230586948603,-15.459417896285023,-13.628460299240212,-13.836668623445897,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 01:00:00,-16.036419707608317,-16.67209466203216,-13.620625350586108,-10.356116562245012,-9.249452859704851,-16.37198583913372,-12.62273411580946,-13.594626367121514,-15.237452351664116,-9.390737397879816,-24.984366328390323,-23.953479624972267,-22.75610771613928,-18.521771431508455,-18.436687813469465,-25.068867829439508,-21.01472672601721,-21.72080063866219,-21.891873877953184,-20.307701692567818,-18.736009441332833,-19.568033511293784,-18.099363260272675,-13.00301815719489,-14.020394741270156,-14.552575059186605,-16.412569548485898,-14.675573249099747,-14.223293931533505,-15.947577567173377,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 02:00:00,-16.040569940144643,-16.791500045657862,-13.621869301351785,-10.356425387451887,-9.256236604388384,-16.398154866298107,-12.63048492768719,-13.61233416342922,-15.312613058873662,-9.392724585608663,-24.754543231381007,-23.75185860748018,-22.651990550662088,-18.391786464159047,-18.322879940205507,-24.80034915240294,-20.81449420191428,-21.683870252373204,-21.8113896278853,-20.141972016035766,-16.81263334477438,-18.36590190125693,-17.494465629791325,-12.267484382192402,-12.794753919118907,-14.360673433305584,-16.20149810598685,-13.252013498012465,-14.424142112351173,-15.94912882071748,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 03:00:00,-16.01011065514846,-16.793687368155968,-13.622760004339684,-10.356403546385405,-9.264348387442622,-16.400242618524544,-12.638633939646985,-13.724133671201193,-15.373021366191253,-9.394634751184075,-24.514539653844565,-23.50717690302009,-22.568274263130593,-18.26666288081713,-18.238509280353863,-24.64769881434864,-20.576360248463153,-21.580551016094084,-21.70657845308597,-19.995314332575454,-15.964105306393582,-22.257460391024246,-17.42468189709768,-15.170413645139423,-14.08510403656424,-16.451446447707355,-16.724042196246646,-16.845754167182925,-14.552570643007531,-15.187111359110867,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 04:00:00,-16.03279711521383,-16.78199073556377,-13.837041290570399,-10.358191260108121,-9.202525303927096,-16.380588033861585,-12.642439138725052,-13.725392313985813,-15.388352976544816,-9.385661420650818,-24.315810242039447,-23.269600304169266,-22.499591891884446,-18.1956589142604,-18.12487657122752,-24.409484020829932,-20.408799534715406,-21.509041064844844,-21.64117876627046,-19.863821561293953,-18.351348074407262,-22.04597867637616,-17.20768511837114,-12.461388813567627,-16.412212277420526,-18.318860787261674,-19.562341461021333,-17.082984690962988,-15.61401392284995,-16.17662646396841,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
