datetime;GARCH;HAR;RFSV;actuals
2018-11-22 00:00:00;-14.730737955150067;-14.730737955150067;-14.730737955150067;-13.933630593128646
2018-11-22 01:00:00;-14.737283144778475;-14.93826307040671;-14.710797110975085;-14.196477019583662
2018-11-22 02:00:00;-14.787682678423039;-14.542366428591128;-14.42648377348557;-13.41511431907473
2018-11-22 03:00:00;-14.668265453579155;-14.66836508281885;-14.514564529502183;-12.513442886995422
2018-11-22 04:00:00;-14.745737117517873;-14.256857623917808;-14.645561926554317;-12.873474766947343
2018-11-22 05:00:00;-14.708816723308761;-13.7999954396764;-14.350046080249976;-12.467909962207129
2018-11-22 06:00:00;-14.57390265129146;-13.964771938824965;-14.422772206327748;-13.058967403082857
2018-11-22 07:00:00;-14.633146580005425;-13.745152861911569;-14.462643374969247;-13.285901666701985
2018-11-22 08:00:00;-14.6689581604408;-14.036511918540198;-14.071463849413748;-13.648834065326737
2018-11-22 09:00:00;-14.086291637884955;-14.14119353735468;-13.979892959776194;-13.786357058275424
2018-11-22 10:00:00;-14.244119049747164;-14.323276188067736;-14.043426249789196;-12.948437659501703
2018-11-22 11:00:00;-14.539089466162801;-14.379094394406833;-13.851000921665904;-12.285792088333181
2018-11-22 12:00:00;-14.694620819281806;-13.932500359280501;-13.899718906520674;-13.354729977646041
2018-11-22 18:00:00;-14.48436066120683;-13.6038525856772;-14.104213092306956;-12.320293771301158
2018-11-22 19:00:00;-14.690273921998363;-14.15647376371133;-13.965767280519366;-14.025266534345548
2018-11-22 20:00:00;-14.760646013232822;-13.653309129158023;-13.840086958648442;-14.11918264286242
2018-11-22 21:00:00;-14.754075818553524;-14.515028414465894;-13.669497953615569;-14.206857674412456
2018-11-22 22:00:00;-13.888196247697852;-14.563651682287206;-13.842251994393683;-13.686633504697669
2018-11-22 23:00:00;-14.285124756222698;-14.59822620753956;-13.719434325478892;-14.452615263911147
2018-11-23 00:00:00;-14.494383888750935;-14.333165051675016;-13.807037966197932;-13.345897722309445
2018-11-23 01:00:00;-14.421812574291442;-14.70838143585262;-13.752486242805869;-13.409526856225472
2018-11-23 02:00:00;-14.660679714145298;-14.159238824386824;-13.973606354120697;-12.810434892422492
2018-11-23 03:00:00;-14.788724283454094;-14.17567850850691;-13.89638965361787;-12.223342101369404
2018-11-23 04:00:00;-14.747534887755153;-13.846581291380408;-14.053722124864532;-13.304215218686652
2018-11-23 05:00:00;-14.86529288734084;-13.55981820314195;-13.906342858002665;-12.68691545432354
2018-11-23 06:00:00;-14.928436491800738;-14.077240308706129;-13.953205712034148;-12.80125148957075
2018-11-23 07:00:00;-14.76784541416404;-13.76687846968378;-13.942201259108424;-13.063676093663394
2018-11-23 08:00:00;-14.306119481278248;-13.80651799317035;-13.680706461610365;-12.178556291651345
2018-11-23 09:00:00;-14.638866292355726;-13.919281300361979;-13.596579010310801;-11.542800502410216
2018-11-23 10:00:00;-14.850985546919363;-13.460068865027202;-13.685794983108934;-11.57936150038021
2018-11-23 11:00:00;-14.7262938948868;-13.126481151954016;-13.605006098061372;-11.694990048803819
2018-11-23 12:00:00;-14.906858371702324;-13.122807264894098;-13.781970042488457;-12.201966192246106
2018-11-23 13:00:00;-15.005502368519947;-13.167391434532808;-13.692915135475799;-13.142353731856698
2018-11-25 18:00:00;-15.10067863066221;-13.400314646117513;-13.800445844434801;-11.79290464215638
2018-11-25 19:00:00;-14.486980941702926;-13.837582030097627;-13.695304404099641;-12.937954561118545
2018-11-25 20:00:00;-14.776718054014967;-13.167908083257535;-13.57433293242343;-12.937707027981094
2018-11-25 21:00:00;-14.81867650017681;-13.728850704562197;-13.528519156077797;-12.93819214647033
2018-11-25 22:00:00;-14.9904977149457;-13.718138423118608;-13.457939237486286;-13.551986933952314
2018-11-25 23:00:00;-14.943609096305646;-13.766404362519202;-13.662943029891427;-14.228019319974262
2018-11-26 00:00:00;-15.080474963606706;-14.09622900682084;-13.664109684271331;-14.202170537611357
2018-11-26 01:00:00;-15.104308985613727;-14.466502050635183;-13.289596618212425;-14.27020091141835
2018-11-26 02:00:00;-15.13480668028227;-14.457123170790146;-13.632182010478479;-12.572698777525913
2018-11-26 03:00:00;-15.153688993518182;-14.468278327872452;-13.259732102834667;-12.112682266241606
2018-11-26 04:00:00;-14.853616024197068;-13.563633148319331;-13.38180875993389;-12.771317395627898
2018-11-26 05:00:00;-14.864021929690848;-13.321122245278586;-13.958820508303361;-13.891892276660528
2018-11-26 06:00:00;-14.930441044924443;-13.679487788938635;-13.810563549116827;-13.221883905556538
2018-11-26 07:00:00;-14.849712101633672;-14.256188061666128;-13.667279833298554;-13.076856313387212
2018-11-26 08:00:00;-14.879689402351167;-13.899822810259293;-13.70014900009952;-13.085573575995964
2018-11-26 09:00:00;-14.274381268940072;-13.81356295994287;-13.667432806643497;-11.661712502025154
2018-11-26 10:00:00;-14.62947491529576;-13.806703269330304;-13.746407403324554;-11.878118606311027
2018-11-26 11:00:00;-14.709997627160227;-13.045486461916466;-13.740421250138347;-12.38770615567143
2018-11-26 12:00:00;-14.169866807236557;-13.164577332443391;-13.269082830026889;-12.070860104470736
2018-11-26 13:00:00;-13.730333267523989;-13.420960098389441;-13.449207109794324;-12.325486026990914
2018-11-26 14:00:00;-14.222482719283757;-13.237721683590555;-13.620268051262004;-12.294206572304335
2018-11-26 15:00:00;-14.451357888503791;-13.353918175909099;-13.71949292863657;-12.05345974648278
2018-11-26 16:00:00;-14.589010752543574;-13.327057512871958;-13.290813877209215;-11.937570251530387
2018-11-26 18:00:00;-14.70726788334511;-13.177700293696182;-13.162258960495482;-12.768026324130565
2018-11-26 19:00:00;-14.917901771468655;-13.108671285954037;-13.428549698213214;-13.276377213672276
2018-11-26 20:00:00;-14.929511419069959;-13.539419899648946;-13.29008932895886;-13.194186034770683
2018-11-26 21:00:00;-14.987967269267033;-13.794376008629383;-13.266037474954658;-13.909630459301205
2018-11-26 22:00:00;-14.873926165656263;-13.771519621656152;-13.326310705237814;-12.93517245970599
2018-11-26 23:00:00;-14.982856912589622;-14.149163961657313;-13.40544767874591;-14.017515989809661
2018-11-27 00:00:00;-15.07739910809384;-13.637826527205112;-13.389821261827219;-13.056679637885928
2018-11-27 01:00:00;-15.155626717308694;-14.217130152959909;-13.413122243036778;-13.712000489557692
2018-11-27 02:00:00;-14.392657766063461;-13.711189984190822;-13.742562715673065;-10.755425489050229
2018-11-27 03:00:00;-13.640435280533426;-14.017056217739777;-13.443647279996181;-11.739989927492859
2018-11-27 04:00:00;-14.183168350386365;-12.44685996184281;-13.681126883214533;-12.417447624108643
2018-11-27 05:00:00;-14.526286111816276;-12.987876143722842;-13.561869680321056;-12.821635421667292
2018-11-27 06:00:00;-14.799359906169878;-13.358541188481068;-13.361797221820547;-12.61945919850364
2018-11-27 07:00:00;-14.925239289675787;-13.571554541674322;-13.359631078632653;-13.125116792519682
2018-11-27 08:00:00;-15.010127619886358;-13.47243843981745;-13.456025825702817;-12.73663217079526
2018-11-27 09:00:00;-13.787278432762767;-13.74242363247277;-13.382244683725657;-11.392471824636667
2018-11-27 10:00:00;-14.282982232378293;-13.516635201478925;-13.50251596747987;-11.215683805117044
2018-11-27 11:00:00;-14.271798940533436;-12.79434265303596;-13.474128600955968;-11.763199261297657
2018-11-27 12:00:00;-14.371583318228184;-12.707917111111064;-13.511694425680071;-11.728583568011087
2018-11-27 13:00:00;-14.108250949434842;-12.992272133137204;-13.466155917794994;-11.741502465996916
