datetime;HAR;RFSV;actuals
2018-11-21 09:20:00;-16.146984353397407;-16.146984353397407;-15.453281698610338
2018-11-21 09:25:00;-17.445241237969377;-16.38147074985959;-15.770658454400925
2018-11-21 09:30:00;-17.018069270586317;-15.665910597922895;-12.664055914569788
2018-11-21 09:35:00;-17.129408476529413;-16.28757224722517;-13.224626355726992
2018-11-21 09:40:00;-15.261528843100102;-15.76119918311157;-13.45769518712342
2018-11-21 09:45:00;-15.572112973775141;-16.462566481121755;-13.843866648546273
2018-11-21 09:50:00;-15.691325430767812;-16.864835599379738;-12.511238709250025
2018-11-21 09:55:00;-15.844078105510924;-16.35645621236768;-13.249313489576624
2018-11-21 10:00:00;-15.045689147309723;-16.304119411496757;-13.006186655399256
2018-11-21 10:05:00;-15.448634820132803;-16.743636936450656;-13.607589285412768
2018-11-21 10:10:00;-15.297778033946962;-15.862144169492517;-13.066022049937601
2018-11-21 10:15:00;-15.588005004993668;-15.975565485475771;-13.181664461641676
2018-11-21 10:20:00;-15.246180310846874;-16.43621693260326;-12.478742290656026
2018-11-21 10:25:00;-15.267740120677352;-15.987846208024846;-15.533729387278592
2018-11-21 10:30:00;-14.932883863035862;-16.18232905066767;-13.731009329890144
2018-11-21 10:35:00;-16.564562430046315;-16.369873590320054;-13.594729282246584
2018-11-21 10:40:00;-15.567511490753667;-17.117028351143706;-14.197497778168453
2018-11-21 10:45:00;-15.482622235143616;-16.026437743479818;-13.75742798793587
2018-11-21 10:50:00;-15.78792028804039;-15.929770422829828;-14.609165207989662
2018-11-21 10:55:00;-15.557393494346023;-15.681124437472088;-13.949970480069368
2018-11-21 11:00:00;-16.005021941258995;-16.183086210619294;-13.494434306526424
2018-11-21 11:05:00;-15.625458295236307;-15.583748971978558;-14.622314279591798
2018-11-21 11:10:00;-15.39374249762411;-16.873359673687382;-14.072585245130037
2018-11-21 11:15:00;-15.979281585737702;-16.127721505995694;-13.730959299834979
2018-11-21 11:20:00;-15.667822112279644;-16.36854976398591;-15.84392508690502
2018-11-21 11:25:00;-15.528433618537655;-15.72923959320127;-14.144492729759921
2018-11-21 11:30:00;-16.613774383287954;-16.662611425457264;-14.377195902269762
2018-11-21 11:35:00;-15.717792534821704;-15.950025515368404;-15.292783509000012
2018-11-21 11:40:00;-15.87183703580299;-15.389938419581364;-15.98538283705837
