datetime,rv,lvol,roughsim
2011-01-10,5.851107514150742e-05,-9.746294502986732,-9.518368614170845
2011-01-11,4.265705486048113e-05,-10.06231788479885,-10.917764942883736
2011-01-12,3.5879546155347144e-05,-10.235343169812786,-8.993836385909294
2011-01-13,4.61360732272077e-05,-9.983915414449203,-9.753006893997842
2011-01-14,4.650666970642082e-05,-9.975914821110031,-9.92589257799966
2011-01-16,5.081635932690921e-06,-12.189877314221425,-9.188777275564453
2011-01-17,1.815201004283836e-05,-10.916729257223425,-9.468801886035537
2011-01-18,3.6846295510784306e-05,-10.208755473261961,-9.421551196432928
2011-01-19,5.471931845033834e-05,-9.813293739947971,-11.242804345059323
2011-01-20,7.892847615939176e-05,-9.44696848065874,-10.578678606108712
2011-01-21,4.243035326513869e-05,-10.067646572950652,-10.257772284063817
2011-01-23,9.068612047855365e-06,-11.610691332244322,-11.810811111879701
2011-01-24,5.191835586179211e-05,-9.865838152830394,-9.44244357185561
2011-01-25,6.812017587988556e-05,-9.59423712026053,-8.499674738566096
2011-01-26,5.171471991591197e-05,-9.86976809906502,-8.394945046801562
2011-01-27,6.52354636503689e-05,-9.637507315885157,-9.56718930839475
2011-01-28,0.00010457629713775709,-9.165593636813757,-10.216786819413135
2011-01-30,2.4085608790870764e-05,-10.633896041437135,-9.135625886186844
2011-01-31,7.304099361646811e-05,-9.524489718039694,-9.543803915825345
2011-02-01,4.665517660680902e-05,-9.972726669907487,-8.915734660121448
2011-02-02,4.2283222632617164e-05,-10.071120178660276,-9.284914760892782
2011-02-03,4.83966383381167e-05,-9.936080202477891,-8.636881244448407
2011-02-04,4.4549358173698874e-05,-10.018912811026683,-10.123711144737758
2011-02-06,4.061061264293161e-06,-12.414066223362292,-8.667241166609715
2011-02-07,3.664250045994583e-05,-10.214301776492706,-8.072088476492855
2011-02-08,3.7903175355768886e-05,-10.180475666911336,-8.201233234752603
2011-02-09,3.7041149623007174e-05,-10.203481111329737,-8.761723457572318
2011-02-10,8.161563651225344e-05,-9.413489690427058,-6.436342084667089
2011-02-11,4.82469446778034e-05,-9.939178054924074,-7.356687422507524
2011-02-13,5.8179356500533505e-06,-12.054565058445153,-8.351956564758442
2011-02-14,3.131170405007543e-05,-10.371518599000742,-9.0114702617238
2011-02-15,3.933175895595106e-05,-10.14347824951142,-8.928615637003592
2011-02-16,4.500498000794287e-05,-10.008737407473904,-7.264350873489313
2011-02-17,3.277246160904541e-05,-10.325921980313217,-8.810413351595333
2011-02-18,2.3715675373156888e-05,-10.64937432030708,-9.269278694684022
2011-02-20,4.312118140607514e-06,-12.354081326632826,-9.877328263531016
2011-02-21,2.115368205572869e-05,-10.763696575154881,-8.752606339462794
2011-02-22,9.21221544897513e-05,-9.292395095424325,-9.389268559520374
2011-02-23,9.487461725867786e-05,-9.262954356420751,-8.866834728406282
2011-02-24,0.00013800285388031408,-8.888236192728773,-7.770044475653171
2011-02-25,4.5216292362041e-05,-10.004053085585127,-8.639881302858962
2011-02-27,6.938154202017785e-06,-11.878474783947679,-9.411367927338704
2011-02-28,5.120260275453846e-05,-9.87972019216129,-9.088774314699418
2011-03-01,0.00010957601454120577,-9.118892052827468,-8.792265845886664
2011-03-02,0.00010921138716796342,-9.12222522199515,-9.98606672564531
2011-03-03,7.059726291221709e-05,-9.558519183165378,-9.09460723995959
2011-03-04,9.038790051938305e-05,-9.31140014333616,-9.082889169162003
2011-03-06,1.719338933004875e-05,-10.97098558929914,-8.295998790417475
2011-03-07,0.00011415497261500829,-9.077953623825941,-7.187530283939602
2011-03-08,9.443309051905644e-05,-9.267619011076418,-7.761264709662326
2011-03-09,0.00012849745385080477,-8.959601468215931,-7.426371966445955
2011-03-10,0.00015226002246004466,-8.789920824575088,-7.5118323275857
2011-03-11,0.0001588848091297079,-8.747331089182229,-8.514795337379972
2011-03-13,6.112435747438423e-05,-9.702600121891,-7.501648182216133
2011-03-14,0.0002036577329088017,-8.49906975302777,-8.516733326811199
2011-03-15,0.0003548751838964334,-7.943744424970686,-7.5105441132754525
2011-03-16,0.00044956536931488485,-7.707229287896597,-8.268519040683678
2011-03-17,0.00026480627931843234,-8.236512020744392,-8.52975060495055
2011-03-18,0.00010714109402680259,-9.141363956374471,-6.879937446385432
2011-03-20,2.832430737339503e-05,-10.471790204186071,-7.664553796699435
2011-03-21,7.183646872332905e-05,-9.541118289920544,-8.109290755867324
2011-03-22,7.072491728374989e-05,-9.556712610324873,-9.492369992809103
2011-03-23,0.00010274803796267716,-9.183230800023997,-9.169924401878296
2011-03-24,0.00011183436032103131,-9.098491707064321,-11.165270810954393
2011-03-25,4.808996790196018e-05,-9.942436970132606,-9.848578861800876
2011-03-27,1.0629117385775551e-05,-11.45191339955853,-9.606222169947507
2011-03-28,5.833396116941558e-05,-9.749326109862523,-10.45805534695442
2011-03-29,5.75597453938353e-05,-9.762687099272553,-8.854534797962835
2011-03-30,4.854933104895985e-05,-9.932930141922075,-11.638726640336815
2011-03-31,4.844378890521542e-05,-9.93510642381609,-9.130678680776425
2011-04-01,4.338873045000656e-05,-10.045310817627781,-10.327182004809206
2011-04-03,7.2396183187851825e-06,-11.835942071356149,-7.2294692697684155
2011-04-04,4.5829982114485153e-05,-9.990572049701115,-9.366741226906589
2011-04-05,5.426214166018825e-05,-9.821683781180901,-9.721702178918619
2011-04-06,4.6434053488369065e-05,-9.977477456526067,-9.399602749670983
