datetime;HAR;RFSV;actuals
2018-11-21 09:20:00;-16.146984353397407;-16.146984353397407;-15.453281698610338
2018-11-21 09:25:00;-17.445241237963735;-15.596786517721661;-15.770658454400925
2018-11-21 09:30:00;-17.01806927059119;-16.28590153998468;-12.664055914569788
2018-11-21 09:35:00;-17.12940847653217;-16.149628217008186;-13.224626355726992
2018-11-21 09:40:00;-15.261528843097999;-16.565314249142478;-13.45769518712342
2018-11-21 09:45:00;-15.572112973776022;-16.16653850874947;-13.843866648546273
2018-11-21 09:50:00;-15.691325430771364;-16.28814374367382;-12.511238709250025
2018-11-21 09:55:00;-15.844078105517319;-15.79393513942867;-13.249313489576624
2018-11-21 10:00:00;-15.045689147312082;-15.605390830875836;-13.006186655399256
2018-11-21 10:05:00;-15.448634820134764;-16.483392629741104;-13.607589285412768
2018-11-21 10:10:00;-15.297778033947445;-16.178922033577756;-13.066022049937601
2018-11-21 10:15:00;-15.58800500499455;-15.389427369539975;-13.181664461641676
2018-11-21 10:20:00;-15.246180310839115;-15.755618647519572;-12.478742290656026
2018-11-21 10:25:00;-15.2677401206763;-15.59387983398695;-15.533729387278592
2018-11-21 10:30:00;-14.93288386303447;-15.702128175171863;-13.731009329890144
2018-11-21 10:35:00;-16.564562430048788;-15.997126790864403;-13.594729282246584
2018-11-21 10:40:00;-15.567511490761369;-15.91128719095374;-14.197497778168453
2018-11-21 10:45:00;-15.482622235145406;-14.840838023283665;-13.75742798793587
2018-11-21 10:50:00;-15.787920288041043;-15.535060665679634;-14.609165207989662
2018-11-21 10:55:00;-15.55739349435111;-15.374529804892255;-13.949970480069368
2018-11-21 11:00:00;-16.005021941257716;-16.99769053627364;-13.494434306526424
2018-11-21 11:05:00;-15.62545829523605;-16.41622845976184;-14.622314279591798
2018-11-21 11:10:00;-15.393742497628175;-16.24609850933313;-14.072585245130037
2018-11-21 11:15:00;-15.979281585736196;-15.412931375353526;-13.730959299834979
2018-11-21 11:20:00;-15.667822112283709;-16.103552318875707;-15.84392508690502
2018-11-21 11:25:00;-15.528433618544788;-15.991502581063413;-14.144492729759921
2018-11-21 11:30:00;-16.61377438328872;-15.44955074297795;-14.377195902269762
2018-11-21 11:35:00;-15.717792534827133;-15.677441742290913;-15.292783509000012
2018-11-21 11:40:00;-15.871837035797732;-15.50748121770565;-15.98538283705837
2018-11-21 11:45:00;-16.39723059778077;-15.318542095943304;-14.261077013697783
2018-11-21 11:50:00;-16.732575690707783;-15.760925771590404;-15.113400101731138
2018-11-21 11:55:00;-15.840655154706717;-15.83925295083917;-13.70239689842029
2018-11-21 12:00:00;-16.26048735823303;-15.599893982231892;-14.180152581481602
2018-11-21 12:05:00;-15.521097066518102;-15.72273364450658;-15.021534242668427
2018-11-21 12:10:00;-15.790192563963835;-16.235188116991417;-14.763626838146878
2018-11-21 12:15:00;-16.240047241358745;-16.550781880398603;-14.577767500757343
2018-11-21 12:20:00;-16.106198013837563;-15.880900670137269;-15.113923899043142
2018-11-21 12:25:00;-16.02444968422207;-16.271256356200674;-15.657082601306536
2018-11-21 12:30:00;-16.32748284807314;-16.40746046846931;-16.244871346498908
2018-11-21 12:35:00;-16.654337329253558;-16.30855711528279;-15.146496779740753
2018-11-21 12:40:00;-16.96636381135732;-15.91726270731799;-14.454903679108124
2018-11-21 12:45:00;-16.368810598872976;-15.755162617010827;-15.659156793912404
