datetime;GARCH;HAR;RFSV;actuals
2018-11-22 00:00:00;-14.730737955150067;-14.730737955150067;-14.730737955150067;-13.933630593128646
2018-11-22 01:00:00;-14.737283144778475;-14.938263070407116;-15.10393217475354;-14.196477019583662
2018-11-22 02:00:00;-14.787682678423039;-14.542366428591178;-14.69562077830013;-13.41511431907473
2018-11-22 03:00:00;-14.668265453579155;-14.668365082819326;-14.502379046335754;-12.513442886995422
2018-11-22 04:00:00;-14.745737117517873;-14.256857623917908;-14.693537486647486;-12.873474766947343
2018-11-22 05:00:00;-14.708816723308761;-13.799995439676506;-14.126230744428625;-12.467909962207129
2018-11-22 06:00:00;-14.57390265129146;-13.96477193882488;-14.096510026559056;-13.058967403082857
2018-11-22 07:00:00;-14.633146580005425;-13.74515286191122;-14.802047235472672;-13.285901666701985
2018-11-22 08:00:00;-14.6689581604408;-14.036511918540397;-14.587915932308889;-13.648834065326737
2018-11-22 09:00:00;-14.086291637884955;-14.141193537354921;-14.776825550057957;-13.786357058275424
2018-11-22 10:00:00;-14.244119049747164;-14.323276188067998;-13.98647617704764;-12.948437659501703
2018-11-22 11:00:00;-14.539089466162801;-14.379094394406925;-13.98164684987541;-12.285792088333181
2018-11-22 12:00:00;-14.694620819281806;-13.932500359280459;-14.049350020068367;-13.354729977646041
2018-11-22 18:00:00;-14.48436066120683;-13.603852585677535;-14.354886936361321;-12.320293771301158
2018-11-22 19:00:00;-14.690273921998363;-14.156473763711999;-14.191393406310006;-14.025266534345548
2018-11-22 20:00:00;-14.760646013232822;-13.653309129157973;-14.158885605704537;-14.11918264286242
2018-11-22 21:00:00;-14.754075818553524;-14.51502841446529;-13.564310561042555;-14.206857674412456
2018-11-22 22:00:00;-13.888196247697852;-14.563651682287157;-13.938430189088068;-13.686633504697669
2018-11-22 23:00:00;-14.285124756222698;-14.598226207540149;-13.542809963122124;-14.452615263911147
2018-11-23 00:00:00;-14.494383888750935;-14.333165051674682;-13.671668479192416;-13.345897722309445
2018-11-23 01:00:00;-14.421812574291442;-14.708381435853196;-13.505388133792797;-13.409526856225472
2018-11-23 02:00:00;-14.660679714145298;-14.15923882438686;-13.702571225157856;-12.810434892422492
2018-11-23 03:00:00;-14.788724283454094;-14.175678508506861;-13.323742503382057;-12.223342101369404
2018-11-23 04:00:00;-14.747534887755153;-13.846581291380557;-13.577907922163122;-13.304215218686652
2018-11-23 05:00:00;-14.86529288734084;-13.559818203141985;-14.021969178450771;-12.68691545432354
2018-11-23 06:00:00;-14.928436491800738;-14.077240308706747;-14.196620099898013;-12.80125148957075
2018-11-23 07:00:00;-14.76784541416404;-13.76687846968393;-13.908863187916175;-13.063676093663394
2018-11-23 08:00:00;-14.306119481278248;-13.806517993170116;-13.905951770334005;-12.178556291651345
2018-11-23 09:00:00;-14.638866292355726;-13.919281300362256;-13.594259498763307;-11.542800502410216
2018-11-23 10:00:00;-14.850985546919363;-13.460068865027408;-14.337784337487896;-11.57936150038021
2018-11-23 11:00:00;-14.7262938948868;-13.126481151954662;-14.502460692323828;-11.694990048803819
2018-11-23 12:00:00;-14.906858371702324;-13.122807264894602;-14.613288724550008;-12.201966192246106
2018-11-23 13:00:00;-15.005502368519947;-13.167391434533114;-14.556994463274158;-13.142353731856698
2018-11-25 18:00:00;-15.10067863066221;-13.400314646117392;-14.61381688705294;-11.79290464215638
2018-11-25 19:00:00;-14.486980941702926;-13.837582030097591;-14.373847907390575;-12.937954561118545
2018-11-25 20:00:00;-14.776718054014967;-13.167908083257386;-14.638469850346635;-12.937707027981094
